"sample_index","timestamp_utc","elapsed_seconds","pid","parent_pid","process_name","instance_key","event","cpu_total_seconds","working_set_bytes","private_bytes","error"
"34","2026-09-12T05:21:15.0267197Z","59.334918","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","2.109375","82817024","47636480",""
"34","2026-09-12T05:21:15.0518972Z","59.360095","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
"34","2026-09-12T05:21:15.0758688Z","59.384067","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28721152","19480576",""
"34","2026-09-12T05:21:15.0993637Z","59.407564","46004","14372","zenserver.exe","46004:639247872218402360","Sample","1.015625","55521280","223354880",""
"34","2026-09-12T05:21:15.1255501Z","59.433749","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"35","2026-09-12T05:21:16.8962567Z","61.204474","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"35","2026-09-12T05:21:16.9197772Z","61.227995","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.531250","90828800","97013760",""
"35","2026-09-12T05:21:16.9432796Z","61.251497","14372","65944","UnrealEditor","14372:639247872156630390","Sample","90.406250","3420495872","3818549248",""
"35","2026-09-12T05:21:16.9680357Z","61.276255","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","2.265625","75493376","46428160",""
"35","2026-09-12T05:21:16.9930297Z","61.301250","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
"35","2026-09-12T05:21:17.0200790Z","61.328298","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28663808","19374080",""
"35","2026-09-12T05:21:17.0447348Z","61.352954","46004","14372","zenserver.exe","46004:639247872218402360","Sample","1.031250","55529472","223358976",""
"35","2026-09-12T05:21:17.0680846Z","61.376304","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41390080","21733376",""
